ticker,date,price,target,stop loss
hblpower,2021-12-28,64.1500015258789,123.65000438690186,50.5
RAJESHEXPO,2021-12-28,743.6106567382812,1100.6106567382812,678.1106567382812
TVTODAY,2021-12-28,423.3999938964844,755.9499969482422,368.3499755859375
HBLPOWER,2021-12-28,64.1500015258789,123.65000438690186,50.5
NRBBEARING,2021-12-28,158.9499969482422,286.0,132.34999084472656
RAJESHEXPO,2021-12-28,743.6106567382812,1100.6106567382812,678.1106567382812
TVTODAY,2021-12-28,423.3999938964844,755.9499969482422,368.3499755859375
HBLPOWER,2021-12-28,64.1500015258789,123.65000438690186,50.5
NRBBEARING,2021-12-28,158.9499969482422,286.0,132.34999084472656
GODREJIND,2021-12-29,640.5999755859375,1062.6499938964844,548.1499633789062
AUTOAXLES,2021-12-31,1551.5999755859375,2795.449920654297,1201.3499755859375
INOXWIND,2021-12-31,117.5999984741211,256.0499954223633,76.8499984741211
GODREJIND,2022-01-02,628.2999877929688,1050.3500061035156,535.8499755859375
RAYMOND,2022-01-02,621.5499877929688,1119.9500122070312,498.24993896484375
AUTOAXLES,2022-01-02,1571.0999755859375,2833.949920654297,1201.8499755859375
GODREJIND,2022-01-04,628.2999877929688,1050.3500061035156,535.8499755859375
RAYMOND,2022-01-04,621.5499877929688,1119.9500122070312,498.24993896484375
AUTOAXLES,2022-01-04,1571.0999755859375,2833.949920654297,1201.8499755859375
ABCAPITAL,2022-01-06,129.39999389648438,165.54999542236328,120.89999389648438
LALPATHLAB,2022-01-06,3824.050048828125,4417.050048828125,3731.050048828125
GODREJIND,2022-01-06,621.2999877929688,700.2999877929688,597.5
IPCALAB,2022-01-06,2165.14990234375,2448.249755859375,2078.25
METROPOLIS,2022-01-06,3414.800048828125,3833.000244140625,3331.64990234375
SUNDRMFAST,2022-01-06,899.1500244140625,1053.6000366210938,850.75
ACC,2022-01-06,2241.300048828125,2418.300048828125,2190.64990234375
ADANIENT,2022-01-06,1715.449951171875,1904.9000244140625,1670.7999267578125
GLAND,2022-01-06,3941.800048828125,4620.650146484375,3791.949951171875
HINDUNILVR,2022-01-06,2415.800048828125,2634.650146484375,2348.800048828125
LT,2022-01-06,1948.5999755859375,2164.449951171875,1891.25
TECHM,2022-01-06,1737.550048828125,2019.550048828125,1652.550048828125
TITAN,2022-01-06,2576.14990234375,3061.5,2470.449951171875
ULTRACEMCO,2022-01-06,7659.5498046875,8397.19970703125,7456.74951171875
WIPRO,2022-01-06,713.5,836.3499755859375,689.7000122070312
MOTHERSUMI,2022-01-06,224.10000610351562,258.8000030517578,215.5500030517578
GALAXYSURF,2022-01-06,3142.39990234375,3651.39990234375,3041.39990234375
KNRCON,2022-01-06,294.6499938964844,360.79998779296875,278.6999816894531
IBREALEST,2022-01-06,162.10000610351562,182.3000030517578,155.60000610351562
NBCC,2022-01-06,46.599998474121094,53.39999771118164,44.45000076293945
NATIONALUM,2022-01-06,103.44999694824219,120.24999237060547,100.0
SUNTECK,2022-01-06,514.4500122070312,624.1500244140625,479.6000061035156
WABCOINDIA,2022-01-06,8610.9501953125,9910.0,8249.9501953125
BHARATRAS,2022-01-06,12593.599609375,15815.099609375,11656.69921875
JSL,2022-01-06,200.89999389648438,255.1999969482422,188.89999389648438
FILATEX,2022-01-06,104.6500015258789,140.10000610351562,93.4000015258789
GMBREW,2022-01-06,866.6500244140625,1149.5,794.050048828125
GTLINFRA,2022-01-06,2.3499999046325684,3.350000023841858,2.1499998569488525
HINDOILEXP,2022-01-06,187.35000610351562,231.90000915527344,176.20001220703125
INSECTICID,2022-01-06,730.0,877.7000122070312,697.7999877929688
KITEX,2022-01-06,220.0500030517578,376.5,187.6999969482422
MOLDTKPAC,2022-01-06,820.9000244140625,991.800048828125,772.0
MOREPENLAB,2022-01-06,58.29999923706055,72.0999984741211,53.79999923706055
NRBBEARING,2022-01-06,183.5,322.25,158.5500030517578
PNBGILTS,2022-01-06,68.80000305175781,77.6500015258789,66.20000457763672
ABCAPITAL,2022-01-06,129.39999389648438,165.54999542236328,120.89999389648438
LALPATHLAB,2022-01-06,3824.050048828125,4417.050048828125,3731.050048828125
GODREJIND,2022-01-06,621.2999877929688,700.2999877929688,597.5
IPCALAB,2022-01-06,2165.14990234375,2448.249755859375,2078.25
METROPOLIS,2022-01-06,3414.800048828125,3833.000244140625,3331.64990234375
SUNDRMFAST,2022-01-06,899.1500244140625,1053.6000366210938,850.75
ACC,2022-01-06,2241.300048828125,2418.300048828125,2190.64990234375
ADANIENT,2022-01-06,1715.449951171875,1904.9000244140625,1670.7999267578125
GLAND,2022-01-06,3941.800048828125,4620.650146484375,3791.949951171875
HINDUNILVR,2022-01-06,2415.800048828125,2634.650146484375,2348.800048828125
LT,2022-01-06,1948.5999755859375,2164.449951171875,1891.25
TECHM,2022-01-06,1737.550048828125,2019.550048828125,1652.550048828125
TITAN,2022-01-06,2576.14990234375,3061.5,2470.449951171875
ULTRACEMCO,2022-01-06,7659.5498046875,8397.19970703125,7456.74951171875
WIPRO,2022-01-06,713.5,836.3499755859375,689.7000122070312
MOTHERSUMI,2022-01-06,224.10000610351562,258.8000030517578,215.5500030517578
GALAXYSURF,2022-01-06,3142.39990234375,3651.39990234375,3041.39990234375
KNRCON,2022-01-06,294.6499938964844,360.79998779296875,278.6999816894531
IBREALEST,2022-01-06,162.10000610351562,182.3000030517578,155.60000610351562
NBCC,2022-01-06,46.599998474121094,53.39999771118164,44.45000076293945
NATIONALUM,2022-01-06,103.44999694824219,120.24999237060547,100.0
SUNTECK,2022-01-06,514.4500122070312,624.1500244140625,479.6000061035156
WABCOINDIA,2022-01-06,8610.9501953125,9910.0,8249.9501953125
BHARATRAS,2022-01-06,12593.599609375,15815.099609375,11656.69921875
JSL,2022-01-06,200.89999389648438,255.1999969482422,188.89999389648438
FILATEX,2022-01-06,104.6500015258789,140.10000610351562,93.4000015258789
GMBREW,2022-01-06,866.6500244140625,1149.5,794.050048828125
GTLINFRA,2022-01-06,2.3499999046325684,3.350000023841858,2.1499998569488525
HINDOILEXP,2022-01-06,187.35000610351562,231.90000915527344,176.20001220703125
INSECTICID,2022-01-06,730.0,877.7000122070312,697.7999877929688
KITEX,2022-01-06,220.0500030517578,376.5,187.6999969482422
MOLDTKPAC,2022-01-06,820.9000244140625,991.800048828125,772.0
MOREPENLAB,2022-01-06,58.29999923706055,72.0999984741211,53.79999923706055
NRBBEARING,2022-01-06,183.5,322.25,158.5500030517578
PNBGILTS,2022-01-06,68.80000305175781,77.6500015258789,66.20000457763672
ABFRL,2022-01-09,292.04998779296875,320.79998779296875,282.8999938964844
THERMAX,2022-01-09,1902.449951171875,2050.7999267578125,1857.5
HINDPETRO,2022-01-09,320.0,352.6499938964844,309.70001220703125
MARUTI,2022-01-09,7906.0,8430.7998046875,7796.7001953125
PIDILITIND,2022-01-09,2723.449951171875,2992.949951171875,2633.949951171875
LAXMIMACH,2022-01-09,9510.0498046875,10551.099609375,9197.099609375
NBCC,2022-01-09,50.25,56.5,48.54999923706055
SUZLON,2022-01-09,10.649999618530273,11.999999046325684,10.449999809265137
PRAJIND,2022-01-09,371.8999938964844,419.29998779296875,359.54998779296875
SWANENERGY,2022-01-09,164.3000030517578,213.1999969482422,154.10000610351562
MAHSEAMLES,2022-01-09,563.6500244140625,631.9500427246094,542.4500122070312
FILATEX,2022-01-09,119.25,142.6999969482422,111.80000305175781
GDL,2022-01-09,285.8999938964844,297.04998779296875,285.8999938964844
JBMA,2022-01-09,1420.0999755859375,1735.5499267578125,1361.1500244140625
JPPOWER,2022-01-09,8.449999809265137,10.849999904632568,7.699999809265137
JINDWORLD,2022-01-09,264.1499938964844,303.04998779296875,253.60000610351562
NRBBEARING,2022-01-09,183.14999389648438,211.04998779296875,175.34999084472656
ORISSAMINE,2022-01-09,2841.300048828125,3460.050048828125,2658.300048828125
GODREJIND,2022-01-10,642.4000244140625,1070.3500061035156,596.2500610351562
RAJESHEXPO,2022-01-10,822.0499877929688,1248.0499877929688,694.9500122070312
SRF,2022-01-10,2504.949951171875,3065.7999267578125,2321.0
TATACHEM,2022-01-10,927.2000122070312,1032.3999633789062,893.2000122070312
HCLTECH,2022-01-10,1290.550048828125,1540.4500732421875,1227.6500244140625
HINDALCO,2022-01-10,493.5,581.6499938964844,470.25
PGHH,2022-01-10,15606.2001953125,17183.400390625,15195.6005859375
TCS,2022-01-10,3853.5,4356.699951171875,3709.35009765625
BSE,2022-01-10,1949.0999755859375,2382.5,1845.8499755859375
CENTURYTEX,2022-01-10,947.0,1148.9500122070312,886.2000122070312
SPARC,2022-01-10,327.1499938964844,579.8500061035156,276.8499755859375
BOMDYEING,2022-01-10,112.19999694824219,145.3499984741211,103.04999542236328
